split_seed,source,subject,seed,vel_mag,n_train,val_acc,test_acc,test_bci
2,sim,S02,0,0.02,1679,0.5802,0.6943,0.7283
2,sim,S04,0,0.005,1679,0.7184,0.5354,0.5197
2,sim,S04,0,0.01,1679,0.7087,0.5512,0.5197
2,sim,S04,0,0.02,1679,0.6990,0.5669,0.5197
2,sim,S05,0,0.005,1679,0.6107,0.6836,0.6716
2,sim,S05,0,0.01,1679,0.6221,0.6836,0.6716
2,sim,S05,0,0.02,1679,0.6450,0.6925,0.6716
2,sim,S07,0,0.005,1677,0.6818,0.4825,0.5000
2,sim,S07,0,0.01,1677,0.6515,0.4737,0.5000
2,sim,S07,0,0.02,1677,0.6818,0.4386,0.5000
3,sim,S01,0,0.005,1679,0.4757,0.5278,0.5093
3,sim,S01,0,0.01,1679,0.4951,0.5185,0.5093
3,sim,S01,0,0.02,1679,0.5340,0.4722,0.5093
3,sim,S02,0,0.005,1679,0.6255,0.7208,0.7283
3,sim,S02,0,0.01,1679,0.6173,0.7245,0.7283
3,sim,S02,0,0.02,1679,0.6008,0.6943,0.7283
3,sim,S04,0,0.005,1679,0.6408,0.5354,0.5197
3,sim,S04,0,0.01,1679,0.6408,0.5512,0.5197
3,sim,S04,0,0.02,1679,0.6699,0.5669,0.5197
3,sim,S05,0,0.005,1679,0.6412,0.6806,0.6716
3,sim,S05,0,0.01,1679,0.6412,0.6836,0.6716
3,sim,S05,0,0.02,1679,0.6374,0.6896,0.6716
3,sim,S07,0,0.005,1677,0.6061,0.4825,0.5000
3,sim,S07,0,0.01,1677,0.6212,0.4737,0.5000
3,sim,S07,0,0.02,1677,0.5909,0.4386,0.5000
4,sim,S01,0,0.005,1679,0.5534,0.5278,0.5093
4,sim,S01,0,0.01,1679,0.5534,0.5185,0.5093
4,sim,S01,0,0.02,1679,0.5534,0.4722,0.5093
4,sim,S02,0,0.005,1679,0.5967,0.7208,0.7283
4,sim,S02,0,0.01,1679,0.5926,0.7245,0.7283
4,sim,S02,0,0.02,1679,0.5885,0.6943,0.7283
4,sim,S04,0,0.005,1679,0.7282,0.5354,0.5197
